ID AVG FITS BB_TYPE WORKFLOW PLATFORM NB_PIPELINE PIPELINE NB_CORES BB_NB_FILES DATA_MB LATENCY BANDWITH SIMULATION_S MEASURED_MKSP_S ERR_MKSP MEASURED_WALLTIME_S ERR_WALLTIME
28183915 1 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 116.354 112.06 0.0383117 137.851 0.155946
28183915 2 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 116.857 112.882 0.0352163 122.657 0.0472852
28183915 3 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 117.523 113.787 0.0328352 120.665 0.0260337
28183915 4 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 116.259 111.965 0.0383486 125.068 0.0704366
28183915 5 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 118.154 114.764 0.0295374 124.601 0.0517436
28183915 6 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 116.098 111.695 0.0394184 125.353 0.0738302
28183915 7 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 118.305 114.992 0.0288091 141.296 0.162716
28183915 8 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 117.604 113.94 0.0321579 146.532 0.197417
28183915 9 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 116.257 112.346 0.0348071 125.023 0.0701153
28183915 10 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 115.932 111.418 0.0405092 126.222 0.0815256
28183915 11 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 116.574 112.412 0.0370184 159.949 0.271183
28183915 12 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 116.006 111.543 0.0400056 120.872 0.0402586
28183915 13 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 116.003 111.521 0.0401844 135.146 0.141652
28183915 14 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 115.196 110.359 0.0438307 122.937 0.0629652
28183915 15 Y PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 116.002 111.526 0.040131 128.692 0.0986103
28183933 1 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 132.851 137.597 0.0344937 151.188 0.121288
28183933 2 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 137.811 144.914 0.0490144 157.61 0.125618
28183933 3 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 136.351 142.616 0.0439251 163.006 0.163519
28183933 4 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 131.831 135.781 0.0290927 187.418 0.296594
28183933 5 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 131.263 135.01 0.0277565 148.916 0.118546
28183933 6 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 137.297 144.348 0.0488479 166.798 0.176868
28183933 7 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 144.659 155.354 0.0688461 194.81 0.257436
28183933 8 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 141.674 150.547 0.0589339 166.304 0.148101
28183933 9 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 143.232 153.455 0.0666165 173.285 0.173433
28183933 10 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 285.608 367.684 0.223225 380.696 0.249774
28183933 11 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 155.282 170.46 0.0890404 186.511 0.167437
28183933 12 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 134.304 139.5 0.0372419 175.455 0.234536
28183933 13 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 137.292 145.206 0.0545067 155.677 0.118103
28183933 14 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 140.951 149.583 0.0577031 179.185 0.213377
28183933 15 Y STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 131.67 135.618 0.0291092 173.832 0.24254
28183950 1 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 127.922 128.209 0.00223703 143.831 0.110607
28183950 2 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 130.056 131.396 0.0102041 178.929 0.273146
28183950 3 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 131.283 133.143 0.0139726 158.293 0.170636
28183950 4 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 126.456 125.961 0.00393014 150.381 0.159099
28183950 5 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 127.529 127.579 0.000392402 143.753 0.112857
28183950 6 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 129.631 130.771 0.00872014 147.7 0.122338
28183950 7 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 131.431 133.504 0.015531 186.847 0.296587
28183950 8 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 134.523 138.399 0.0280058 155.011 0.132173
28183950 9 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 135.57 140.21 0.033091 151.943 0.107757
28183950 10 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 132.407 134.943 0.0187939 173.072 0.23496
28183950 11 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 128.329 128.839 0.00395589 156.909 0.18214
28183950 12 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 129.906 131.72 0.0137721 148.074 0.122695
28183950 13 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 126.286 126.603 0.00249615 148.725 0.150875
28183950 14 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 130.733 132.389 0.0125088 174.179 0.249433
28183950 15 N STRIPED swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 127.947 128.188 0.00188248 176.636 0.275645
28183960 1 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 126.668 126.209 0.00363675 148.753 0.148467
28183960 2 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 129.254 130.032 0.00598934 153.614 0.158582
28183960 3 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 129.577 130.522 0.00723921 175.081 0.259906
28183960 4 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 127.555 127.479 0.000591833 186.657 0.316636
28183960 5 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 130.617 132.119 0.0113678 157.439 0.170363
28183960 6 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 136.191 140.544 0.030975 166.16 0.180365
28183960 7 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 136.203 140.438 0.0301556 168.891 0.193547
28183960 8 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 125.971 125.325 0.0051506 151.659 0.169381
28183960 9 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 128.824 129.435 0.00471951 138.309 0.0685795
28183960 10 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 128.079 128.338 0.00202305 142.538 0.101441
28183960 11 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 129.853 130.931 0.00823475 150.278 0.135916
28183960 12 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 127.227 127.215 9.18771e-05 132.859 0.0423886
28183960 13 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 125.658 124.71 0.0075979 144.763 0.131976
28183960 14 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 132.475 134.786 0.0171498 145.416 0.0889943
28183960 15 N PRIVATE swarp-0.dax cori.xml 1 1 1 0 0 0.117647 2.32143 128.212 128.448 0.00184231 152.22 0.157724
28183922 1 Y PRIVATE swarp-0.dax cori.xml 1 1 1 12 288.193 0.117647 2.32143 114.678 112.721 0.0173638 153.419 0.252517
28183922 2 Y PRIVATE swarp-0.dax cori.xml 1 1 1 12 288.193 0.117647 2.32143 114.842 112.006 0.025324 120.095 0.0437367
28183922 3 Y PRIVATE swarp-0.dax cori.xml 1 1 1 12 288.193 0.117647 2.32143 116.317 116.032 0.00246346 123.524 0.058343
28183922 4 Y PRIVATE swarp-0.dax cori.xml 1 1 1 12 288.193 0.117647 2.32143 115.09 112.815 0.0201653 158.72 0.274887
28183922 5 Y PRIVATE swarp-0.dax cori.xml 1 1 1 12 288.193 0.117647 2.32143 114.465 111.419 0.0273373 131.267 0.128003
