ID AVG FITS BB_TYPE WORKFLOW PLATFORM NB_PIPELINE PIPELINE NB_CORES BB_NB_FILES DATA_MB LATENCY BANDWITH SIMULATION_S MEASURED_MKSP_S ERR_MKSP MEASURED_WALLTIME_S ERR_WALLTIME
27829588 1 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 120.407 117.184 0.0275028 121.335 0.0076499
27829588 2 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 124.138 122.822 0.0107153 127.134 0.0235639
27829588 3 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 121.365 118.604 0.0232793 132.882 0.0866655
27829588 4 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 120.297 116.997 0.0282076 146.513 0.178932
27829588 5 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 122.161 120.669 0.0123603 130.746 0.0656661
27829588 6 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 122.881 121.571 0.0107756 139 0.115964
27829588 7 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 118.538 114.404 0.0361358 124.743 0.0497389
27829588 8 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 122.857 120.853 0.0165781 137.39 0.105781
27829588 9 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 120.335 117.106 0.027569 126.575 0.0493016
27829588 10 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 119.477 115.734 0.0323422 124.587 0.0410148
27829588 11 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 140.986 147.56 0.0445543 157.459 0.104617
27829588 12 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 129.898 131.307 0.0107308 137.512 0.0553694
27829588 13 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 117.617 113.348 0.0376608 148.167 0.206188
27829588 14 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 120.392 117.184 0.0273691 135.389 0.110775
27829588 15 N PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 132.147 134.507 0.0175453 145.877 0.0941182
27825307 1 Y PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 115.155 110.435 0.042732 123.386 0.0667142
27825307 2 Y PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 112.651 106.646 0.0563093 118.9 0.0525607
27825307 3 Y PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 113.971 108.771 0.0478115 118.753 0.0402685
27825307 4 Y PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 114.37 109.215 0.0471956 130.644 0.124569
27825307 5 Y PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 114.661 109.729 0.0449551 119.492 0.0404264
27825307 6 Y PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 115.134 110.32 0.0436375 128.17 0.101706
27825307 7 Y PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 115.056 110.981 0.0367178 123.067 0.0650903
27825307 8 Y PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 114.908 110.001 0.0446091 139.321 0.175227
27825307 9 Y PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 114.75 110.567 0.0378307 137.354 0.16457
27825307 10 Y PRIVATE swarp-1.dax cori.xml 1 1 32 0 0 0.117647 2.32143 115.089 110.281 0.043594 136.897 0.159307
